time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
1.830000000000000071e+00,1.053831270750184117e-02,nan,1.498752540633573049e-01,nan
1.832000000000000073e+00,1.067646507703762411e-02,nan,1.494165951723762653e-01,nan
1.834000000000000075e+00,1.081513102071395872e-02,nan,1.489580630800142469e-01,nan
1.836000000000000076e+00,1.095430316595671048e-02,nan,1.484996638794225665e-01,nan
1.838000000000000078e+00,1.109397416454381037e-02,nan,1.480414036419598067e-01,nan
1.840000000000000080e+00,1.123413669557221488e-02,nan,1.475832884140459711e-01,nan
1.842000000000000082e+00,1.137478346647722259e-02,nan,1.471253242160797947e-01,nan
1.844000000000000083e+00,1.151590720351876318e-02,nan,1.466675170525131300e-01,nan
1.846000000000000085e+00,1.165750065728743054e-02,nan,1.462098729060156699e-01,nan
1.848000000000000087e+00,1.179955660294648365e-02,nan,1.457523977372155444e-01,nan
1.850000000000000089e+00,1.194206784026462936e-02,nan,1.452950974846616561e-01,nan
1.852000000000000091e+00,1.208502719364808534e-02,nan,1.448379780647863768e-01,nan
1.854000000000000092e+00,1.222842751217192644e-02,nan,1.443810453718694653e-01,nan
1.856000000000000094e+00,1.237226166961069053e-02,nan,1.439243052780021792e-01,nan
1.858000000000000096e+00,1.251652256446829023e-02,nan,1.434677636330525807e-01,nan
1.860000000000000098e+00,1.266120312000719450e-02,nan,1.430114262646314527e-01,nan
1.862000000000000099e+00,1.280629628427685379e-02,nan,1.425552989780586310e-01,nan
1.864000000000000101e+00,1.295179503014147644e-02,nan,1.420993875563306419e-01,nan
1.866000000000000103e+00,1.309769235530699842e-02,nan,1.416436977600884772e-01,nan
